,Date,NOAA No,Location,Lo,Area,Zpc,LL,NN,Mag,N_Bflare,N_Cflare,N_Mflare,N_Xflare
0,2017-01-01,2622,N11W71,195.0,10.0,Axx,1.0,1.0,Alpha,0.0,0.0,0.0,0.0
0,2017-01-02,None,,,,,,,,0.0,0.0,0.0,0.0
0,2017-01-03,None,,,,,,,,0.0,0.0,0.0,0.0
0,2017-01-04,2624,S08W57,141.0,0.0,Axx,0.0,1.0,Alpha,0.0,0.0,0.0,0.0
0,2017-01-05,None,,,,,,,,0.0,0.0,0.0,0.0
0,2017-01-06,None,,,,,,,,0.0,0.0,0.0,0.0
0,2017-01-07,None,,,,,,,,0.0,0.0,0.0,0.0
0,2017-01-08,None,,,,,,,,0.0,0.0,0.0,0.0
0,2017-01-09,None,,,,,,,,0.0,0.0,0.0,0.0
0,2017-01-10,None,,,,,,,,0.0,0.0,0.0,0.0
0,2017-01-11,None,,,,,,,,0.0,0.0,0.0,0.0
0,2017-01-12,None,,,,,,,,0.0,0.0,0.0,0.0
0,2017-01-13,2625,N03E72,254.0,30.0,Hsx,1.0,1.0,Alpha,0.0,0.0,0.0,0.0
0,2017-01-14,2625,N03E58,254.0,50.0,Cso,4.0,3.0,Beta,0.0,0.0,0.0,0.0
1,2017-01-14,2626,N08E67,245.0,20.0,Hsx,0.0,1.0,Alpha,0.0,0.0,0.0,0.0
0,2017-01-15,2625,N03E45,254.0,50.0,Cso,8.0,3.0,Beta,0.0,0.0,0.0,0.0
1,2017-01-15,2626,N08E55,244.0,140.0,Hsx,2.0,2.0,Alpha,0.0,0.0,0.0,0.0
0,2017-01-16,2625,N03E31,255.0,40.0,Hsx,1.0,1.0,Alpha,0.0,0.0,0.0,0.0
1,2017-01-16,2626,N09E42,244.0,140.0,Hax,3.0,2.0,Alpha,0.0,0.0,0.0,0.0
0,2017-01-17,2625,N01E18,254.0,60.0,Hsx,1.0,1.0,Alpha,1.0,0.0,0.0,0.0
1,2017-01-17,2626,N08E29,243.0,120.0,Hax,3.0,3.0,Alpha,1.0,0.0,0.0,0.0
0,2017-01-18,2625,N01E06,252.0,50.0,Hsx,3.0,2.0,Alpha,0.0,0.0,0.0,0.0
1,2017-01-18,2626,N08E16,242.0,90.0,Cao,3.0,4.0,Beta,0.0,0.0,0.0,0.0
0,2017-01-19,2625,S00W07,252.0,40.0,Cao,5.0,2.0,Beta,0.0,0.0,0.0,0.0
1,2017-01-19,2626,N07E03,243.0,60.0,Hax,2.0,3.0,Alpha,0.0,0.0,0.0,0.0
0,2017-01-20,2625,S00W20,253.0,20.0,Hax,5.0,2.0,Alpha,0.0,0.0,0.0,0.0
1,2017-01-20,2626,N08W11,244.0,70.0,Hax,2.0,4.0,Alpha,0.0,0.0,0.0,0.0
0,2017-01-21,2625,S00W35,255.0,40.0,Hax,1.0,2.0,Alpha,0.0,0.0,0.0,0.0
1,2017-01-21,2626,N08W24,244.0,50.0,Hax,3.0,3.0,Alpha,0.0,0.0,0.0,0.0
2,2017-01-21,2627,N05E28,192.0,70.0,Dao,5.0,12.0,Beta,2.0,0.0,0.0,0.0
3,2017-01-21,2628,N12E49,171.0,20.0,Bxo,1.0,4.0,Beta,7.0,0.0,0.0,0.0
0,2017-01-22,2625,N01W48,255.0,30.0,Hax,2.0,3.0,Alpha,0.0,0.0,0.0,0.0
1,2017-01-22,2626,N08W37,244.0,40.0,Hsx,3.0,3.0,Alpha,0.0,0.0,0.0,0.0
2,2017-01-22,2627,N06E15,192.0,80.0,Dai,6.0,13.0,Beta,0.0,0.0,0.0,0.0
3,2017-01-22,2628,N12E36,171.0,120.0,Dai,9.0,8.0,Beta-Gamma,9.0,6.0,0.0,0.0
0,2017-01-23,2625,N01W62,256.0,0.0,Axx,1.0,1.0,Alpha,0.0,0.0,0.0,0.0
1,2017-01-23,2626,N08W50,244.0,30.0,Hax,2.0,1.0,Alpha,0.0,0.0,0.0,0.0
2,2017-01-23,2627,N06E01,193.0,110.0,Dai,7.0,11.0,Beta,0.0,0.0,0.0,0.0
3,2017-01-23,2628,N12E21,173.0,210.0,Dao,9.0,8.0,Beta-Gamma,1.0,0.0,0.0,0.0
0,2017-01-24,2626,N08W63,244.0,30.0,Hsx,2.0,2.0,Alpha,0.0,0.0,0.0,0.0
1,2017-01-24,2627,N06W12,193.0,70.0,Dai,7.0,13.0,Beta,0.0,0.0,0.0,0.0
2,2017-01-24,2628,N12E07,174.0,220.0,Dso,9.0,8.0,Beta,0.0,0.0,0.0,0.0
0,2017-01-25,2626,N08W74,241.0,10.0,Axx,1.0,2.0,Alpha,0.0,0.0,0.0,0.0
1,2017-01-25,2627,N06W25,192.0,30.0,Cro,7.0,4.0,Beta,0.0,0.0,0.0,0.0
2,2017-01-25,2628,N13W05,172.0,210.0,Eao,11.0,6.0,Beta,0.0,0.0,0.0,0.0
3,2017-01-25,2629,N15E59,109.0,70.0,Cao,5.0,3.0,Beta,4.0,0.0,0.0,0.0
0,2017-01-26,2627,N06W39,193.0,10.0,Bxo,7.0,2.0,Beta,0.0,0.0,0.0,0.0
1,2017-01-26,2628,N12W22,175.0,180.0,Cao,10.0,7.0,Beta,0.0,0.0,0.0,0.0
2,2017-01-26,2629,N15E44,110.0,180.0,Dao,6.0,7.0,Beta,9.0,0.0,0.0,0.0
0,2017-01-27,2628,N11W34,175.0,120.0,Cao,13.0,5.0,Beta,0.0,0.0,0.0,0.0
1,2017-01-27,2629,N15E31,110.0,150.0,Dao,8.0,6.0,Beta,8.0,0.0,0.0,0.0
0,2017-01-28,2628,N12W48,175.0,110.0,Cso,12.0,5.0,Beta,0.0,0.0,0.0,0.0
1,2017-01-28,2629,N15E18,110.0,160.0,Dao,8.0,8.0,Beta,1.0,0.0,0.0,0.0
0,2017-01-29,2628,N12W64,179.0,110.0,Hsx,4.0,3.0,Alpha,0.0,0.0,0.0,0.0
1,2017-01-29,2629,N15E05,110.0,130.0,Dso,6.0,5.0,Beta,0.0,0.0,0.0,0.0
0,2017-01-30,2628,N11W79,181.0,110.0,Hsx,2.0,1.0,Alpha,0.0,0.0,0.0,0.0
1,2017-01-30,2629,N15W10,112.0,120.0,Cso,6.0,3.0,Beta,0.0,0.0,0.0,0.0
0,2017-01-31,2629,N15W22,111.0,60.0,Hsx,3.0,1.0,Alpha,0.0,0.0,0.0,0.0
1,2017-01-31,2630,N16E54,35.0,10.0,Axx,1.0,1.0,Alpha,0.0,0.0,0.0,0.0
